           I    Z         F         X          G    Y
50  2.079119  0.0  0.729861 -1.225887   2.667540  1.0
51 -1.004173  0.0  0.313551 -0.910570   0.350309  1.0
52  1.822158  2.0  0.468003  0.912628   1.029283  0.0
53  0.585723  0.0  0.479651  5.132985   2.363403  1.0
54 -0.953293  0.0  0.419723  0.415340   0.686618  1.0
55  0.897921  0.0  0.613191  0.229618   0.686069  0.0
56  2.097057  0.0  0.312976 -2.307703   0.418987  1.0
57  0.708902  0.0  0.375167  2.890414   1.114205  0.0
58  1.778319  0.0  0.724084 -0.216007   0.840516  1.0
59  0.659629  0.0  0.736572  5.134215  -3.262472  1.0
60  0.956280  1.0  0.688311  2.575521   1.152262  1.0
61 -0.989908  0.0  0.847240  3.618686   0.642054  0.0
62 -0.163779  1.0  0.452144  2.463339   2.054498  1.0
63  1.844208  2.0  0.742053  3.944778  -2.737438  1.0
64 -1.198411  1.0  0.701663  1.121363   2.269884  1.0
65  1.591553  2.0  0.761653 -2.222800   6.490063  1.0
66 -0.806520  0.0  0.789446 -1.714660   0.358720  1.0
67  0.719196  2.0  0.479869  3.034213   0.146116  1.0
68 -1.234617  0.0  0.528955  0.575498   0.279526  0.0
69  2.971943  0.0  0.773429 -0.372707   0.799323  1.0
70  0.113991  0.0  0.945291  7.206746   3.382575  1.0
71  0.976080  0.0  0.658515  4.715138  -0.826884  1.0
72 -1.345763  0.0  0.399649  3.021723  -4.988517  1.0
73  1.214981  1.0  0.754518  4.883094   5.218952  1.0
74  0.337591  0.0  0.280963  4.702884   6.821989  0.0
75 -0.314015  0.0  0.577170  1.195441   0.910286  1.0
76  1.684170  0.0  0.645586  6.107257  -2.253477  1.0
77  1.829829  1.0  0.389614  0.937225   0.755785  1.0
78 -0.387778  0.0  0.509307  2.461049   0.737290  1.0
79  0.518455  1.0  0.556041  2.698387  -2.368918  1.0
80 -0.637105  1.0  0.419384  0.749133  -0.393717  0.0
81  0.574706  0.0  0.368300  3.125601  -0.145532  1.0
82  0.004974  1.0  0.637330  4.059491  -6.725557  0.0
83 -1.357681  1.0  0.380967  3.247930   0.750893  1.0
84  0.460809  0.0  0.835725  0.068763   0.898267  1.0
85  1.085242  0.0  0.474933  3.456296  -4.316666  0.0
86 -0.311618  0.0  0.485300  0.037928   0.488114  1.0
87  2.515786  0.0  0.568581 -0.053185   0.622886  1.0
88  0.435773  0.0  0.765282  1.228786   1.612096  1.0
89  0.141298  0.0  0.736256  1.561608   0.208023  1.0
90  1.819652  0.0  0.525369  6.582414  -9.036826  1.0
91 -0.499043  0.0  0.536079  0.562278   0.801929  1.0
92  0.353636  0.0  0.265264  6.196292   5.526723  1.0
93 -0.028330  2.0  0.685569  7.804414  -8.751072  1.0
94 -0.803175  0.0  0.602968  3.830587   0.640508  0.0
95  1.196018  2.0  0.841688  2.433267   2.684862  1.0
96  0.408747  0.0  0.829993 -1.545468   0.241652  0.0
97  1.188512  2.0  0.558632 -1.277981   0.200207  1.0
98  0.989675  0.0  0.755147  0.276637   0.938749  1.0
99  1.528666  2.0  0.620884  0.218410   0.624572  1.0
